CLIENTNUM,Customer_Age,Income_Category,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Attrition_Flag
1226,45,Unknown,2801,2043,1241,46,0.729,0
5974,52,$40K - $60K,1915,1445,2264,39,0.755,1
7531,40,$40K - $60K,8155,1178,14955,102,0.144,0
9434,47,$80K - $120K,29770,1565,1774,42,0.053,0
3797,45,$40K - $60K,16928,1519,3355,66,0.09,0
3698,59,Less than $40K,2192,1569,4010,79,0.716,0
7219,56,Unknown,10016,1872,2804,37,0.187,1
1847,45,$80K - $120K,9234,0,2586,44,0,1
3246,48,$60K - $80K,19324,1040,1744,50,0.054,0
2218,43,$40K - $60K,4396,0,4771,78,0,0
9204,53,$80K - $120K,11450,2129,2197,45,0.186,0
1321,42,Unknown,3119,1328,4659,82,0.426,0
4874,56,Less than $40K,1438.3,0,1988,42,0,1
3611,45,Less than $40K,7924,1896,3270,58,0.239,0
1537,45,Unknown,17678,0,2566,49,0,1
5280,42,$40K - $60K,2038,0,1238,28,0,0
2924,38,$80K - $120K,10972,0,4401,73,0,0
5884,44,Less than $40K,4453,973,3239,66,0.219,0
2590,34,$80K - $120K,5100,1786,2375,63,0.35,0
3706,45,Less than $40K,4602,1517,3520,66,0.33,0
6316,45,Unknown,1877,0,4854,80,0,0
2611,42,$120K +,34516,1839,1230,34,0.053,0
4980,50,Less than $40K,1789,1156,5110,75,0.646,0
8557,38,Less than $40K,1556,0,2283,46,0,1
2153,33,Unknown,2613,1599,1387,31,0.612,0
8372,54,Less than $40K,1556,1278,1615,35,0.821,0
8999,51,$40K - $60K,4762,0,2811,52,0,1
6707,37,$60K - $80K,5663,1149,2553,61,0.203,0
3297,57,$80K - $120K,8026,2202,4072,72,0.274,0
8656,47,Less than $40K,2897,638,4491,75,0.22,0
3127,49,Less than $40K,15569,1554,4566,73,0.1,0
7294,32,Less than $40K,9761,1470,14334,97,0.151,0
2268,43,Less than $40K,11362,1871,7849,88,0.165,0
7200,42,$80K - $120K,22120,1805,3981,65,0.082,0
6037,46,$60K - $80K,3135,0,4116,68,0,0
8050,42,$60K - $80K,17887,1821,14544,116,0.102,0
4977,39,$80K - $120K,1438.3,0,4282,69,0,0
1236,56,$40K - $60K,6038,0,1447,30,0,0
